fecha_inicio,fecha_fin,dias_entre_fechas,dias_evaluados,dias_no_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad_2,Absoluto_Ticks_totales,Margen_Utilidad
44938,45626,689,366,323,0.666666667,6,1,60,60,1,5,0.00001,318,24,24,1440,1440,0,0,0,0
44938,45626,689,366,323,0.666666667,6,1,60,210,0,5,0.00001,339,21,6,1260,1260,0,0,0,0
44938,45626,689,366,323,0.666666667,6,1,135,135,1,5,0.00001,318,24,24,3240,3240,0,0,0,0
44938,45626,689,366,323,0.666666667,6,1,160,110,0,5,0.00001,339,11,16,1760,1760,0,0,0,0
44938,45626,689,366,323,0.666666667,6,1,260,260,1,5,0.00001,318,24,24,6240,6240,0,0,0,0
44938,45626,689,366,323,0.666666667,6,1,285,285,1,5,0.00001,318,24,24,6840,6840,0,0,0,0
44938,45626,689,366,323,0.666666667,6,1,310,310,1,5,0.00001,318,24,24,7440,7440,0,0,0,0
44938,45626,689,366,323,0.666666667,6,3,135,135,1,5,0.00001,268,49,49,6615,6615,0,0,0,0
44938,45626,689,366,323,0.666666667,6,3,260,260,1,5,0.00001,268,49,49,12740,12740,0,0,0,0
44938,45626,689,366,323,0.666666667,6,3,285,285,1,5,0.00001,268,49,49,13965,13965,0,0,0,0
44938,45626,689,366,323,0.666666667,6,6,335,335,1,5,0.00001,172,97,97,32495,32495,0,0,0,0
44938,45626,689,366,323,0.666666667,6,24,135,135,1,5,0.00001,124,121,121,16335,16335,0,0,0,0
44938,45626,689,366,323,0.666666667,6,24,260,260,1,5,0.00001,124,121,121,31460,31460,0,0,0,0
44938,45626,689,366,323,0.666666667,12,3,35,260,0,5,0.00001,307,52,7,1820,1820,0,0,0,0
44938,45626,689,366,323,0.666666667,12,6,35,210,0,5,0.00001,289,66,11,2310,2310,0,0,0,0
44938,45626,689,366,323,0.666666667,18,3,60,310,0,5,0.00001,329,31,6,1860,1860,0,0,0,0
44938,45626,689,366,323,0.666666667,18,3,110,110,1,5,0.00001,298,34,34,3740,3740,0,0,0,0
44938,45626,689,366,323,0.666666667,18,3,160,160,1,5,0.00001,298,34,34,5440,5440,0,0,0,0
44938,45626,689,366,323,0.666666667,18,3,185,185,1,5,0.00001,298,34,34,6290,6290,0,0,0,0
44938,45626,689,366,323,0.666666667,18,6,235,360,1,5,0.00001,247,72,47,16920,16920,0,0,0,0
44938,45626,689,366,323,0.666666667,18,18,35,210,1,5,0.00001,149,186,31,6510,6510,0,0,0,0
44938,45626,689,366,323,0.666666667,18,18,160,160,0,5,0.00001,170,98,98,15680,15680,0,0,0,0
44938,45626,689,366,323,0.666666667,18,24,160,160,1,5,0.00001,128,119,119,19040,19040,0,0,0,0
44938,45626,689,366,323,0.666666667,24,1,35,35,0,5,0.00001,332,17,17,595,595,0,0,0,0
44938,45626,689,366,323,0.666666667,24,1,185,185,0,5,0.00001,332,17,17,3145,3145,0,0,0,0
44938,45626,689,366,323,0.666666667,24,1,210,360,1,5,0.00001,309,36,21,7560,7560,0,0,0,0
44938,45626,689,366,323,0.666666667,24,1,235,235,0,5,0.00001,332,17,17,3995,3995,0,0,0,0
