fecha_inicio,fecha_fin,dias_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad
44938,45626,366,01:00,18,6,35,360,0,5,0.00001,224,139,3,4865,1080,3785,350.46
44938,45626,366,03:00,24,6,285,35,0,5,0.00001,291,2,73,570,2555,-1985,348.25
44938,45626,366,18:00,3,1,360,35,0,5,0.00001,319,1,46,360,1610,-1250,347.22
44938,45626,366,04:00,12,3,235,35,0,5,0.00001,304,2,60,470,2100,-1630,346.81
44938,45626,366,13:00,24,6,235,35,0,5,0.00001,304,2,60,470,2100,-1630,346.81
44938,45626,366,14:00,24,6,235,35,0,5,0.00001,335,1,30,235,1050,-815,346.81
44938,45626,366,19:00,12,1,35,110,0,5,0.00001,336,28,2,980,220,760,345.45
44938,45626,366,16:00,24,3,185,35,0,5,0.00001,293,3,70,555,2450,-1895,341.44
44938,45626,366,19:00,12,1,35,235,0,5,0.00001,336,29,1,1015,235,780,331.91
44938,45626,366,11:00,24,6,35,310,1,5,0.00001,249,114,3,3990,930,3060,329.03
44938,45626,366,08:00,12,3,35,260,0,5,0.00001,268,95,3,3325,780,2545,326.28
44938,45626,366,04:00,12,6,285,35,0,5,0.00001,259,3,104,855,3640,-2785,325.73
44938,45626,366,18:00,3,1,185,35,0,5,0.00001,319,2,45,370,1575,-1205,325.68
44938,45626,366,15:00,12,6,235,60,0,5,0.00001,313,3,50,705,3000,-2295,325.53
44938,45626,366,01:00,18,3,35,360,0,5,0.00001,277,87,2,3045,720,2325,322.92
44938,45626,366,15:00,18,3,360,60,1,5,0.00001,314,2,50,720,3000,-2280,316.67
44938,45626,366,14:00,24,3,260,60,0,5,0.00001,347,1,18,260,1080,-820,315.38
44938,45626,366,03:00,24,6,310,35,0,5,0.00001,291,2,73,620,2555,-1935,312.1
44938,45626,366,18:00,24,1,35,60,0,5,0.00001,342,21,3,735,180,555,308.33
44938,45626,366,04:00,12,3,260,35,0,5,0.00001,304,2,60,520,2100,-1580,303.85
44938,45626,366,13:00,24,6,260,35,0,5,0.00001,304,2,60,520,2100,-1580,303.85
44938,45626,366,14:00,24,6,260,35,0,5,0.00001,335,1,30,260,1050,-790,303.85
44938,45626,366,01:00,18,3,35,185,0,5,0.00001,277,85,4,2975,740,2235,302.03
44938,45626,366,16:00,24,3,310,35,0,5,0.00001,293,2,71,620,2485,-1865,300.81
44938,45626,366,13:00,24,3,310,160,0,5,0.00001,331,4,31,1240,4960,-3720,300
44938,45626,366,11:00,24,6,35,335,1,5,0.00001,249,114,3,3990,1005,2985,297.01
44938,45626,366,16:00,3,6,35,335,0,5,0.00001,249,114,3,3990,1005,2985,297.01
44938,45626,366,04:00,12,6,310,35,0,5,0.00001,259,3,104,930,3640,-2710,291.4
44938,45626,366,17:00,6,1,110,135,0,5,0.00001,337,24,5,2640,675,1965,291.11
44938,45626,366,21:00,24,1,185,85,0,5,0.00001,347,2,17,370,1445,-1075,290.54
44938,45626,366,19:00,12,1,35,260,0,5,0.00001,336,29,1,1015,260,755,290.38
44938,45626,366,22:00,12,1,260,35,0,5,0.00001,336,1,29,260,1015,-755,290.38
44938,45626,366,14:00,18,3,260,35,0,5,0.00001,306,2,58,520,2030,-1510,290.38
44938,45626,366,21:00,24,1,35,360,1,5,0.00001,325,40,1,1400,360,1040,288.89
44938,45626,366,08:00,12,3,35,285,0,5,0.00001,268,95,3,3325,855,2470,288.89
44938,45626,366,16:00,24,3,210,35,0,5,0.00001,293,3,70,630,2450,-1820,288.89
44938,45626,366,01:00,18,12,35,360,0,5,0.00001,162,199,5,6965,1800,5165,286.94
44938,45626,366,17:00,6,1,60,135,0,5,0.00001,337,26,3,1560,405,1155,285.19
44938,45626,366,15:00,12,6,260,60,0,5,0.00001,313,3,50,780,3000,-2220,284.62
44938,45626,366,03:00,24,6,335,35,0,5,0.00001,291,2,73,670,2555,-1885,281.34
44938,45626,366,15:00,12,6,235,35,0,5,0.00001,313,2,51,470,1785,-1315,279.79
44938,45626,366,14:00,24,3,285,60,0,5,0.00001,347,1,18,285,1080,-795,278.95
44938,45626,366,19:00,24,3,185,35,0,5,0.00001,303,3,60,555,2100,-1545,278.38
44938,45626,366,14:00,12,3,260,35,0,5,0.00001,308,2,56,520,1960,-1440,276.92
44938,45626,366,15:00,18,3,260,60,1,5,0.00001,314,3,49,780,2940,-2160,276.92
44938,45626,366,21:00,24,1,60,60,0,5,0.00001,347,4,15,240,900,-660,275
44938,45626,366,21:00,24,1,335,235,0,5,0.00001,347,3,16,1005,3760,-2755,274.13
44938,45626,366,15:00,18,3,235,35,1,5,0.00001,314,2,50,470,1750,-1280,272.34
44938,45626,366,13:00,24,6,185,35,0,5,0.00001,304,3,59,555,2065,-1510,272.07
44938,45626,366,17:00,0,1,185,110,0,5,0.00001,308,8,50,1480,5500,-4020,271.62
44938,45626,366,09:00,24,3,35,335,1,5,0.00001,293,71,2,2485,670,1815,270.9
44938,45626,366,16:00,24,3,335,35,0,5,0.00001,293,2,71,670,2485,-1815,270.9
44938,45626,366,19:00,24,6,210,35,0,5,0.00001,273,4,89,840,3115,-2275,270.83
44938,45626,366,14:00,24,6,235,60,0,5,0.00001,335,2,29,470,1740,-1270,270.21
44938,45626,366,17:00,24,1,260,35,0,5,0.00001,309,2,55,520,1925,-1405,270.19
44938,45626,366,21:00,24,1,310,135,0,5,0.00001,347,2,17,620,2295,-1675,270.16
44938,45626,366,13:00,24,3,335,160,0,5,0.00001,331,4,31,1340,4960,-3620,270.15
44938,45626,366,11:00,24,6,35,360,1,5,0.00001,249,114,3,3990,1080,2910,269.44
44938,45626,366,16:00,3,6,35,360,0,5,0.00001,249,114,3,3990,1080,2910,269.44
44938,45626,366,20:00,12,3,185,35,0,5,0.00001,284,4,78,740,2730,-1990,268.92
44938,45626,366,04:00,12,3,285,35,0,5,0.00001,304,2,60,570,2100,-1530,268.42
44938,45626,366,13:00,24,6,285,35,0,5,0.00001,304,2,60,570,2100,-1530,268.42
44938,45626,366,14:00,24,6,285,35,0,5,0.00001,335,1,30,285,1050,-765,268.42
44938,45626,366,04:00,12,6,335,35,0,5,0.00001,259,3,104,1005,3640,-2635,262.19
44938,45626,366,11:00,24,3,35,285,1,5,0.00001,275,88,3,3080,855,2225,260.23
44938,45626,366,21:00,24,1,260,110,0,5,0.00001,347,2,17,520,1870,-1350,259.62
44938,45626,366,08:00,12,3,35,310,0,5,0.00001,268,95,3,3325,930,2395,257.53
44938,45626,366,15:00,24,3,360,135,0,5,0.00001,324,4,38,1440,5130,-3690,256.25
44938,45626,366,19:00,12,1,35,285,0,5,0.00001,336,29,1,1015,285,730,256.14
44938,45626,366,21:00,3,1,285,35,0,5,0.00001,306,2,58,570,2030,-1460,256.14
44938,45626,366,22:00,12,1,285,35,0,5,0.00001,336,1,29,285,1015,-730,256.14
44938,45626,366,14:00,18,3,285,35,0,5,0.00001,306,2,58,570,2030,-1460,256.14
44938,45626,366,03:00,24,6,360,35,0,5,0.00001,291,2,73,720,2555,-1835,254.86
44938,45626,366,22:00,18,1,35,135,1,5,0.00001,322,41,3,1435,405,1030,254.32
44938,45626,366,15:00,12,6,285,60,0,5,0.00001,313,3,50,855,3000,-2145,250.88
44938,45626,366,17:00,24,1,310,60,0,5,0.00001,309,3,54,930,3240,-2310,248.39
44938,45626,366,14:00,24,3,310,60,0,5,0.00001,347,1,18,310,1080,-770,248.39
44938,45626,366,21:00,24,1,360,235,0,5,0.00001,347,3,16,1080,3760,-2680,248.15
44938,45626,366,09:00,24,3,35,235,1,5,0.00001,293,70,3,2450,705,1745,247.52
